file_name,info
VOLVb.ST_FY2022_CORPORATE GOVERNANCE REPORT.pdf,Successfully downloaded
"IQV.N_FY2022_2022Environmental, Socialand GovernanceReport.pdf",Successfully downloaded
"VLO.N_FY2022_ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT.pdf",Successfully downloaded
DHI.N_FY2022_2022ESG REPORT.pdf,Successfully downloaded
7741.T_FY2022_INTEGRATED REPORT 2022.pdf,Successfully downloaded
8411.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
TRP.TO_FY2022_2022 REPORT ON SUSTAINABILITY.pdf,Successfully downloaded
LEN.N_FY2022_Lennar 2022Social ResponsibilityReport.pdf,Successfully downloaded
ASPN.NS_FY2022_Sustainability Report 2021-22.pdf,Successfully downloaded
ROK.N_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
MSCI.N_FY2022_ESG and ClimateTrends to Watchfor 2023.pdf,Successfully downloaded
600309.SS_FY2022_2021年度可持续发展报告.pdf,Successfully downloaded
600309.SS_FY2022_2020年度可持续发展报告.pdf,Successfully downloaded
SYY.N_FY2022_FY2022 Sustainability Report.pdf,Successfully downloaded
3382.T_FY2022_SUSTAINABILITY DATA BOOK 2022.pdf,Successfully downloaded
ORSTED.CO_FY2022_Sustainability report 2022.pdf,Successfully downloaded
LHN.S_FY2022_Sustainability Performance Report-2022.pdf,Successfully downloaded
6273.T_FY2022_SUSTAINABILITY REPORT 2022.pdf,Successfully downloaded
CSGP.OQ_FY2022_SUSTAINABILITY REPORT 2022.pdf,Successfully downloaded
AXBK.NS_FY2022_SUSTAINABILITY REPORT 2021-2022.pdf,Successfully downloaded
AXBK.NS_FY2022_Business Responsibility Report 2021-22.pdf,Successfully downloaded
EA.OQ_FY2022_2022 Impact Report.pdf,Successfully downloaded
WES.AX_FY2022_2022 Annual Report.pdf,Successfully downloaded
CAGR.PA_FY2022_ESG STRATEGY.pdf,Successfully downloaded
0016.HK_FY2022_SUSTAINABILITY REPORT 202122.pdf,Successfully downloaded
PLTR.N_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
KR.N_FY2022_2022 Kroger ESG Repor.pdf,Successfully downloaded
FAST.OQ_FY2022_2022 ESG Report.pdf,Successfully downloaded
6954.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
ADEL.NS_FY2022_Sustainability Report 2021-22.pdf,Successfully downloaded
"DDOG.OQ_FY2022_Environmental,Social, andGovernance Overview.pdf",Successfully downloaded
DD.N_FY2022_SustainabilityReport 2022.pdf,Successfully downloaded
DLTR.OQ_FY2022_2022 CORPORATE SUSTAINABILITY REPORT.pdf,Successfully downloaded
SCMN.S_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
FERG.L_FY2022_ ESG Report FY 2022.pdf,Successfully downloaded
"VICI.N_FY2022_2021‐2022Environmental Sustainability, Social Responsibilityand Corporate Governance Report.pdf",Successfully downloaded
BMRI.JK_FY2022_Sustainability Bond ReportApril 2022.pdf,Successfully downloaded
BFb.N_FY2022_2022 Integrated Annual Report.pdf,Successfully downloaded
"DISCA.OQ_FY2022_Environmental,Social and GovernanceReport 2022.pdf",Successfully downloaded
6594.T_FY2022_INTEGRATED REPORT 2022.pdf,Successfully downloaded
WOW.AX_FY2022_Sustainability report 2022.pdf,Successfully downloaded
WOW.AX_FY2022_Sustainability Report Appendix 2022.pdf,Successfully downloaded
BJFS.NS_FY2022_Business Responsibility & Sustainability Report FY2022.pdf,Successfully downloaded
STEL.SI_FY2022_SUSTAINABILITY REPORT 2022.pdf,Successfully downloaded
GIVN.S_FY2022_integrated annual report 2022.pdf,Successfully downloaded
"GIVN.S_FY2022_2022 Governance, Compensation and Financial Report.pdf",Successfully downloaded
SUN.NS_FY2022_CSR ANNUAL REPORT 2021-22.pdf,Successfully downloaded
TCFP.PA_FY2022_Integrated reportCorporate responsibility2021-2022.pdf,Successfully downloaded
6503.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
FWONA.OQ_FY2022_FORMULA 1 2022SUSTAINABILITY AND DIVERSITY & INCLUSIONPROGRESS.pdf,Successfully downloaded
000001.SZ_FY2022_Sustainability Report 2019.pdf,Successfully downloaded
NESTE.HE_FY2022_NesteCorporate GovernanceStatement2022.pdf,Successfully downloaded
NTR.TO_FY2022_2022 ESG Report.pdf,Successfully downloaded
AHT.L_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
DSFIR.AS_FY2022_ESG Report2022.pdf,Successfully downloaded
7182.T_FY2022_Sustainability Report2022.pdf,Successfully downloaded
AOT.BK_FY2022_Sustainable Development Report 2022.pdf,Successfully downloaded
8002.T_FY2022_SUSTAINABLE DEVELOPMENT REPORT 2022.pdf,Successfully downloaded
0981.HK_FY2022_2020年企业社会责任报告.pdf,Successfully downloaded
IMO.TO_FY2022_2022CorporateSustainabilityReport.pdf,Successfully downloaded
TCL.AX_FY2022_Corporate Reportfor the year ended30 June 2022.pdf,Successfully downloaded
CLNX.MC_FY2022_2022Environment and Climate Change Report.pdf,Successfully downloaded
NTGY.MC_FY2022_Sustainability Report and NonFinancial Information Statement2022.pdf,Successfully downloaded
"NWG.L_FY2022_2022 Environmental, Social and Governance Disclosures Report.pdf",Successfully downloaded
EVOG.ST_FY2022_FY22SustainabilityReport.pdf,Successfully downloaded
6857.T_FY2022_Corporate Governance Report 2022.pdf,Successfully downloaded
6857.T_FY2022_Sustainability Data Book 2022.pdf,Successfully downloaded
6702.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
