file_name,download_info,intercept_info
2023_ESG_Report.pdf,Successfully downloaded,success
d609966dars.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/d609966dars.pdf'.
No link,No link,No link
data2303_all_browsing.pdf,Successfully downloaded,success
No link,No link,No link
Lennar%202023%20Social%20Responsibility%20Report.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/Lennar%202023%20Social%20Responsibility%20Report.pdf'.
asianpaintssr_2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/asianpaintssr_2023.pdf'.
esap-br033_-en-p.pdf,Successfully downloaded,success
ESG+and+Climate+Trends+to+Watch+for+2023.pdf,Successfully downloaded,success
No link,No link,No link
No link,No link,No link
lsyy2023_def14a.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/lsyy2023_def14a.pdf'.
sustainability2023e.pdf,Successfully downloaded,success
%C3%98rsted%20annual%20report%202023.pdf,Successfully downloaded,success
24022023-sustainability-holcim-fy-2022-report-en-3114693266.pdf,Successfully downloaded,success
San_Miguel_Corporation_2022_Sustainability_Report.pdf,Successfully downloaded,success
No link,No link,No link
Axis-Bank-AR-2022-23-Business-Responsibility-and-Sustainability-Report.pdf,Successfully downloaded,success
Axis-Bank-AR-2022-23-Business-Responsibility-and-Sustainability-Report.pdf,Successfully downloaded,success
ea-impact-report-23.pdf,Successfully downloaded,success
05t1h6t36rk2kr.pdf,Successfully downloaded,success
Politique_RSE%202023%20EN%20VF%20301123.pdf,Successfully downloaded,success
SHKP_SR_2023_EN.pdf,Successfully downloaded,success
2022_Carbon_Report_-_2023.05.22.pdf,Successfully downloaded,success
Kroger-Co-2023-ESG-Report_Final.pdf,"HTTPSConnectionPool(host='www.thekrogerco.com', port=443): Max retries exceeded with url: /wp-content/uploads/2023/09/Kroger-Co-2023-ESG-Report_Final.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4f8a408760>: Failed to establish a new connection: [Errno -2] Name or service not known'))",no such file: '../resources/origin_pdf_directory_2023/Kroger-Co-2023-ESG-Report_Final.pdf'
2023_ESG_Report_7.10_FINAL.pdf,Successfully downloaded,success
esap-br033_-en-p.pdf,Successfully downloaded,success
AEL-Sustainability-Report-FY-2022-23.pdf,Successfully downloaded,success
No link,No link,No link
DuPont-2023-10-K-Final.pdf,Successfully downloaded,success
Corporate_Sustainability_Report.pdf,Successfully downloaded,success
No link,No link,No link
ferguson_esg_report_2023.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/ferguson_esg_report_2023.pdf'
VICI-Properties-Inc-2022-2023-ESG-Report.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/VICI-Properties-Inc-2022-2023-ESG-Report.pdf'
No link,No link,No link
Brown-Forman_Fiscal_2023_Integrated_Annual_Report_ADA.pdf,Successfully downloaded,success
News-Corp-2023-ESG-Report-10.16.pdf,Successfully downloaded,success
IntegratedReport2023_en.pdf,Successfully downloaded,success
Woolworths%20Group%202023%20Sustainability%20Report.pdf,Successfully downloaded,success
Woolworths%20Group%202023%20Sustainability%20Report.pdf,Successfully downloaded,success
business-responsibility.pdf,Successfully downloaded,success
Singtel-Group-Sustainability-Report-2023.pdf,Successfully downloaded,success
giv-2023-integrated-report.pdf,Successfully downloaded,success
giv-2023-gcfr.pdf,Successfully downloaded,success
SUNPHARMA_27072023180903_AnnualReportFY23.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/SUNPHARMA_27072023180903_AnnualReportFY23.pdf'.
Thales_Corporate_Responsibility_Report_2023.pdf,Successfully downloaded,success
Sustainability_report_2023_all.pdf,Successfully downloaded,success
2022-Sustainabilty-and-DI-1.pdf,Successfully downloaded,success
pingan-sustainability-report-22.pdf,Successfully downloaded,success
71DE07089E34B261-Corporate_Governance_Statement_2023.pdf,Successfully downloaded,success
Nutrien%20ESG%20Report%202023_1.pdf,Successfully downloaded,success
Ashtead_AR23_Responsible_business_report.pdf,Successfully downloaded,success
entire-dsmfirmenich-iar23.pdf,Successfully downloaded,success
sustainability_report2022_EN.pdf,Successfully downloaded,success
SDReport2021en.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/SDReport2021en.pdf'.
No link,No link,No link
No link,No link,No link
sustainability-report-2022-published-2023.pdf,Successfully downloaded,success
05snvtwr0s4klk.pdf,Successfully downloaded,success
ECC-Report-2022.pdf,Successfully downloaded,success
ISEINFF-2022_ENG.pdf,Successfully downloaded,success
nwg-2023-esg-disclosures-report.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/nwg-2023-esg-disclosures-report.pdf'.
1921487.pdf,Successfully downloaded,success
En_SustainabilityReport2022_05.pdf,Successfully downloaded,success
En_SustainabilityReport2022.pdf,Successfully downloaded,success
financialsection2023-all.pdf,Successfully downloaded,success
2023-EMTN-Base-Prospectus.pdf.coredownload.inline.pdf,Successfully downloaded,success
astellas_ar2023_e_all_0928_2.pdf,Successfully downloaded,success
No link,No link,No link
No link,No link,No link
annualreport2023-04.pdf,Successfully downloaded,success
KOMATSUCSR2022_en_web.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/KOMATSUCSR2022_en_web.pdf'.
Equity-Residential-2023-ESG-Report-Final.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/Equity-Residential-2023-ESG-Report-Final.pdf'
No link,No link,No link
Straumann_AR23_Sustainability.pdf,Successfully downloaded,success
vodafone-2023-summary.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/vodafone-2023-summary.pdf'.
No link,No link,No link
Goodman-Group-2023-Sustainability-Report_Original.pdf,Successfully downloaded,success
sustainability-report-2023-final.pdf,Successfully downloaded,success
No link,No link,No link
No link,No link,No link
2023%20GPC%20Sustainability%20Report_FINAL.pdf,Successfully downloaded,success
3i-sustainabilityreport-2023.pdf,Successfully downloaded,success
No link,No link,No link
2023103001514.pdf,Successfully downloaded,success
CSR%20Report%20%E2%80%93%20F.Y.%202022-23.pdf,"HTTPSConnectionPool(host='www.kelloggs.com', port=443): Max retries exceeded with url: /content/dam/Asia/kelloggs_in/pdf/CSR%20Report%20%E2%80%93%20F.Y.%202022-23.pdf (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.kelloggs.com', port=443): Read timed out. (read timeout=10)""))",no such file: '../resources/origin_pdf_directory_2023/CSR%20Report%20%E2%80%93%20F.Y.%202022-23.pdf'
rdos23t2-ipp-cuentas-resumidas-eng.pdf,Successfully downloaded,success
tesco-plc-annual-report-2023.pdf,Successfully downloaded,success
esgreport2023-en-a3-full.pdf,Successfully downloaded,success
zscaler-impact-and-esg-report-2023.pdf,Successfully downloaded,success
Mahindra-Sustainability-Report-2022-23.pdf,Successfully downloaded,success
Environmental-Information-Disclosure.pdf,Exceeded 30 redirects.,no such file: '../resources/origin_pdf_directory_2023/Environmental-Information-Disclosure.pdf'
No link,No link,No link
rjim_sustainable_investing_policy_statement.pdf,Successfully downloaded,success
esg-fact-sheet-2023-final.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/esg-fact-sheet-2023-final.pdf'.
2023_Impact_Report.pdf,Successfully downloaded,success
No link,No link,No link
2022_Ameren_Sustainability_Report.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/2022_Ameren_Sustainability_Report.pdf'
Ryanair-2023-Sustainability-Report.pdf,Successfully downloaded,success
Ryanair-2023-Sustainability-Report.pdf,Successfully downloaded,success
all.pdf,Successfully downloaded,success
No link,No link,No link
2022-Climate.pdf,Successfully downloaded,success
Imperial%20Brands%20ESG%20Performance%20Summary%202023%2002.01.pdf,Successfully downloaded,success
FirstRand-report-to-society-2023.pdf,Successfully downloaded,success
No link,No link,No link
abf-responsibility-report-2023.pdf.downloadasset.pdf,Successfully downloaded,success
integrated_2023_e.pdf,"HTTPSConnectionPool(host='global.kyocera.com', port=443): Read timed out.",no such file: '../resources/origin_pdf_directory_2023/integrated_2023_e.pdf'
report2023en.pdf,Successfully downloaded,success
integrated_report_2021e_a4.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/integrated_report_2021e_a4.pdf'.
sus_report2023%20(1).pdf,Successfully downloaded,success
broadridge-sustainability-report-2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/broadridge-sustainability-report-2023.pdf'.
Teledyne%20Technologies%202022%20Corporate%20Social%20Responsibility%20Report.pdf,Successfully downloaded,success
CLX-FY23-Annual-Report_executive-summary.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/CLX-FY23-Annual-Report_executive-summary.pdf'
Hologic_SR2023_FullReport_R8_021324.pdf,Successfully downloaded,success
22-CORP-22551-FullReport.pdf,Successfully downloaded,success
2023-Coterra-ESG.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/2023-Coterra-ESG.pdf'.
2621746.pdf,Successfully downloaded,success
2023_CitizenSnap_Report_Summary.pdf,Successfully downloaded,success
ntt_data_sustainability-report-2023.pdf,Successfully downloaded,success
7552.pdf,"HTTPSConnectionPool(host='bond.bseindia.com', port=443): Max retries exceeded with url: /PPMFiles/2024/JAN/PPM/41/7552.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4f8a3d0b20>: Failed to establish a new connection: [Errno -2] Name or service not known'))",no such file: '../resources/origin_pdf_directory_2023/7552.pdf'
integrated-management-report-2023.pdf,Successfully downloaded,success
expeditorssustainabilityreport2022.pdf,Successfully downloaded,success
en-esg_report.pdf,Successfully downloaded,success
bollore-rs-2023-_vdef_gb.pdf,Successfully downloaded,success
FY2023AnnualRepLT%20Integrated%20Annual%20Report%202023.pdf,Successfully downloaded,success
2023-Fairfax-Financial-Holdings-Limited-ESG-Performance-Report.pdf,Successfully downloaded,success
sustainability2023-e-all.pdf,Successfully downloaded,success
2023_ESG_Report_FINAL.pdf,"HTTPSConnectionPool(host='www.redcross.org', port=443): Read timed out.",no such file: '../resources/origin_pdf_directory_2023/2023_ESG_Report_FINAL.pdf'
No link,No link,No link
CIL_-_BRSR_2021-22.pdf,Successfully downloaded,success
2023061500007.pdf,Successfully downloaded,success
2023-global-impact-report.pdf,Successfully downloaded,No page in the pdf
2022-ESG-Report_10-13-22_Final.pdf,Successfully downloaded,success
sgs-2023-integrated-report-en.cdn.en.pdf,Successfully downloaded,success
wisetech-global-annual-report-2023.pdf,Successfully downloaded,success
bsustainability_website_-_november_2023_final.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/bsustainability_website_-_november_2023_final.pdf'.
Annual_Report_2022_23.pdf,"HTTPSConnectionPool(host='oil-india.com', port=443): Max retries exceeded with url: /Document/Financial/Annual_Report_2022_23.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f4f8a3b4880>, 'Connection to oil-india.com timed out. (connect timeout=10)'))",no such file: '../resources/origin_pdf_directory_2023/Annual_Report_2022_23.pdf'
79434-NetApp-esg-report.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/79434-NetApp-esg-report.pdf'.
FOX-CSR-Report-2023.pdf,Successfully downloaded,success
No link,No link,No link
2623353.pdf,Successfully downloaded,success
No link,No link,No link
2023-Sustainability-Report.pdf,Successfully downloaded,no such file: '../resources/origin_pdf_directory_2023/2023-Sustainability-Report.pdf'
20220210587631.pdf,Successfully downloaded,success
AR2023_A3_e.pdf,Successfully downloaded,success
No link,No link,No link
Aristocrat-Sustainability-FY23-FINAL.pdf,"HTTPSConnectionPool(host='s25652.pcdn.co', port=443): Max retries exceeded with url: /wp-content/uploads/2023/12/Aristocrat-Sustainability-FY23-FINAL.pdf (Caused by ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')))",no such file: '../resources/origin_pdf_directory_2023/Aristocrat-Sustainability-FY23-FINAL.pdf'
02711565.pdf,Successfully downloaded,success
integratedreport2023_e.pdf,Successfully downloaded,success
230921_Sustainability%20Report%202023_0.pdf,Successfully downloaded,success
ir56e.pdf,Successfully downloaded,success
INPEX_SustainabilityReport2022_Eng.pdf,Successfully downloaded,success
2022-2023_LGE_SR_FACT_BOOK(EN).pdf,Successfully downloaded,success
2022-diversity-and-inclusion-report.pdf,Successfully downloaded,success
2023-bt-group-esg-addendum_2023.pdf,Successfully downloaded,success
PR%20Sodexo%20Fiscal%202023%20Results%20ENG.pdf,Successfully downloaded,success
final-wrb-2023-sustainabiilty-report_ada.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/final-wrb-2023-sustainabiilty-report_ada.pdf'
sustainabilitydatabook2023.pdf,Successfully downloaded,success
No link,No link,No link
qbe%202022%20sustainability%20report.pdf,Successfully downloaded,success
2023_CitizenSnap_Report_Summary.pdf,Successfully downloaded,success
BP_Bunge_Sustainability_Report_CROP_21_22_eng.pdf,Successfully downloaded,success
ESG-Report-2022.pdf,Successfully downloaded,success
2023-corporate-impact-report.pdf,Successfully downloaded,success
No link,No link,No link
No link,No link,No link
2023-impact-report.pdf,Successfully downloaded,success
Britannia-Sustainability-Report-10-2023.pdf,Successfully downloaded,success
No link,No link,No link
No link,No link,No link
No link,No link,No link
integrated_report_pdf_2023_all_en.pdf,"HTTPSConnectionPool(host='www.tdk.com', port=443): Max retries exceeded with url: /system/files/integrated_report_pdf_2023_all_en.pdf (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='www.tdk.com', port=443): Read timed out. (read timeout=10)""))",no such file: '../resources/origin_pdf_directory_2023/integrated_report_pdf_2023_all_en.pdf'
WMG-ESG-2023-Report.pdf,Successfully downloaded,success
ESG-report-2023.pdf,Successfully downloaded,success
Cboe_2023_ESG_Report_07_20_2023.pdf,Successfully downloaded,success
No link,No link,No link
Proxy_Statement_and_notice_of_General_Meeting_2023.pdf,Successfully downloaded,success
KPN-Integrated-Annual-Report-2023.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/KPN-Integrated-Annual-Report-2023.pdf'.
INGLES_REPORTE%20DE%20SOSTENIBILIDAD%20CREDICORP%20CAPITAL%202022.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/INGLES_REPORTE%20DE%20SOSTENIBILIDAD%20CREDICORP%20CAPITAL%202022.pdf'.
FY23_Deckers_Creating_Change_10.30w.pdf,Successfully downloaded,success
2023-Intuitive-ESG-Report.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/2023-Intuitive-ESG-Report.pdf'.
udr2023_esg_report.pdf,Successfully downloaded,No page in the pdf
Carrefour%20-%20Sustainability-Linked%20Bond%20Framework%20%282%29%20%282%29%20%281%29.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/Carrefour%20-%20Sustainability-Linked%20Bond%20Framework%20%282%29%20%282%29%20%281%29.pdf'.
subaru_sustainability_report2023_all.pdf,Successfully downloaded,success
grasim-annual-report-2022-23.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/grasim-annual-report-2022-23.pdf'.
tfr2023e.pdf,Successfully downloaded,success
Campbell-Soup-Company-2023-Corporate-Responsibility-Data-Update.pdf,Successfully downloaded,success
No link,No link,No link
tml-integrated-annual-report-fy-2022-23.pdf,Successfully downloaded,success
Sustainability-overview-of-Danish-OMXC25-Companies-2022.pdf,Successfully downloaded,success
akzonobel-annual-report-2023.pdf,Successfully downloaded,success
all.pdf,Successfully downloaded,success
environmental2023e.pdf,Successfully downloaded,success
Molson%20Coors%202023%20Our%20Imprint%20Report%20FY2022%202023_07_14_1.pdf,Successfully downloaded,success
sustainability-report-fy2023.pdf,Successfully downloaded,success
ar2023-e.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/ar2023-e.pdf'.
2022_report.pdf,Successfully downloaded,success
FY2023-lenovo-sustainability-report.pdf,Successfully downloaded,success
2023-carmax-responsibility-report-2023_rev_012524.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/2023-carmax-responsibility-report-2023_rev_012524.pdf'
ESG_2022_02_eng.pdf,"HTTPSConnectionPool(host='image.shinhan.com', port=443): Max retries exceeded with url: /rib2017/images/hpe/about_bank/download/ESG_2022_02_eng.pdf (Caused by ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')))",no such file: '../resources/origin_pdf_directory_2023/ESG_2022_02_eng.pdf'
bio-techne-sustainability-report-2023.pdf,"HTTPSConnectionPool(host='resources.bio-techne.com', port=443): Max retries exceeded with url: /bio-techne-assets/docs/pdfs/bio-techne-sustainability-report-2023.pdf (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='resources.bio-techne.com', port=443): Read timed out. (read timeout=10)""))",no such file: '../resources/origin_pdf_directory_2023/bio-techne-sustainability-report-2023.pdf'
Brambles_2023_Sustainability_Review_-_Pathway_to_Regeneration.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/Brambles_2023_Sustainability_Review_-_Pathway_to_Regeneration.pdf'.
2023091400706.pdf,Successfully downloaded,success
Executive-Summary-SR-FY23.pdf,Successfully downloaded,success
albcdacsiv199540_aci_23_esg-report-1-2.pdf,"(""Connection broken: ConnectionResetError(104, 'Connection reset by peer')"", ConnectionResetError(104, 'Connection reset by peer'))",no such file: '../resources/origin_pdf_directory_2023/albcdacsiv199540_aci_23_esg-report-1-2.pdf'
2022_Climate_Change_Hyatt_Hotels_Response.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/2022_Climate_Change_Hyatt_Hotels_Response.pdf'.
Host_Hotels_Resorts_Inc_2023_Corporate_Responsibility_Report.pdf,Successfully downloaded,Failed to open file '../resources/origin_pdf_directory_2023/Host_Hotels_Resorts_Inc_2023_Corporate_Responsibility_Report.pdf'.
vodacom-group-limited-results-for-the-year-ended-31-march-2023-short-form-announcement.pdf,Successfully downloaded,success
chapter4_e_2023_1031.pdf,Successfully downloaded,success
environment_2023_e.pdf,Successfully downloaded,success
